url,scheme,host,path,query,base_url,source_category,endpoint_type,endpoint_family,occurrences,found_in
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Bold/0-255.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Bold/0-255.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Bold/0-255.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/resources,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Italic/0-255.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Italic/0-255.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Italic/0-255.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/resources,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Regular/0-255.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Regular/0-255.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/resources/fonts/Arial%20Regular/0-255.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/resources,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/1.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/1.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/1.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/tile,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/2.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/2.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/2.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/tile,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/3.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/3.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/4/3.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/tile,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/1.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/1.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/1.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/tile,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/2.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/2.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/2.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/tile,2,all_requests.txt; bcws_sources.txt
https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/3.pbf,https,basemaps.arcgis.com,/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/3.pbf,,https://basemaps.arcgis.com/arcgis/rest/services/World_Basemap_v2/VectorTileServer/tile/4/5/3.pbf,ArcGIS/Esri,ArcGIS REST,/services/World_Basemap_v2/VectorTileServer/tile,2,all_requests.txt; bcws_sources.txt
https://blog.gov.bc.ca/app/uploads/sites/786/2025/06/2025_BCWS_screen_Prescribed_1200x628KFC.png,https,blog.gov.bc.ca,/app/uploads/sites/786/2025/06/2025_BCWS_screen_Prescribed_1200x628KFC.png,,https://blog.gov.bc.ca/app/uploads/sites/786/2025/06/2025_BCWS_screen_Prescribed_1200x628KFC.png,BC Gov Blog API/Asset,HTTP,/app/uploads/sites,1,all_requests.txt
https://blog.gov.bc.ca/app/uploads/sites/786/2025/06/2025_Generic-FC-Map_Blog_1200x628CaFC.png,https,blog.gov.bc.ca,/app/uploads/sites/786/2025/06/2025_Generic-FC-Map_Blog_1200x628CaFC.png,,https://blog.gov.bc.ca/app/uploads/sites/786/2025/06/2025_Generic-FC-Map_Blog_1200x628CaFC.png,BC Gov Blog API/Asset,HTTP,/app/uploads/sites,1,all_requests.txt
